id,title,author,available,isbn13,price,format,publisher,pubdate,subjects,pages,overview
276,"Show &amp; Tell: Writers on Writing, Sixth Edition",Dept of Creative Writing,1,9780982338209,$19.95,Paperback,"Publishing Laboratory UNC Wilmington, The",August 2009,"Literary Criticism, American",,
277,Mother California: A Story of Redemption Behind Bars,Kenneth E. Hartman,1,9781934633199,$17.20,Hardcover,Atlas & Co.,November 2009,"Penology & Correctional Studies - General & Miscellaneous, Prisoners & Accused Persons - Biography, United States Studies - General & Miscellaneous, Prisons & Prison Life, American Literature Anthologies",208," ""The fierce and affecting memoir of a convicted murderer, whose growing self-awareness enables him to understand his crime and achieve redemption. In 1980, Kenneth Hartman murdered a homeless man in a Los Angeles park after a drug-fueled binge. Sentenced to life without parole by the state of California, Hartman was soon considered a potent force by the system's most brutal convicts. To the hellish chaos of a maximum-security prison he brought his own limitless propensity for violence - he often spent months at a time in solitary confinement, ""the Hole."" ""After years in the cold embrace of the state prison system, Hartman discovered a vocation for writing; he also met, through a chance phone call, the woman he would marry and have a child by. With poignancy and self awareness, Hartman chronicles the anarchy and brutish moral code that rules in some of the world's most infamous prisons, where physical punishment is the only form of control. Over time, Hartman evolves into a sentient being; follows his newly discovered spiritual and literary inclinations; and learns to deal with his demanding responsibilities as a family man. The final chapter describes his development of the Honor Program, which helps motivated prisoners escape the ravages of incarceration."" Mother California is the story of a man who did not succumb to the darkness of the only world left to him. It offers definite proof that there is no such thing as a life beyond redemption.</p>"
278,"Richard Wright: Later Works (Black Boy, American Hunger, The Outsider)",Richard Wright,1,9780940450677,$26.80,Hardcover,Library of America,October 1991,"Peoples & Cultures - American Anthologies, African Americans - Fiction & Literature",887,"The library of America is dedicated to publishing America's best and most significant writing in handsome, enduring volumes, featuring authoritative texts. Hailed as the ""finest-looking, longest-lasting editions ever made"" (The New Republic), Library of America volumes make a fine gift for any occasion. Now, with exactly one hundred volumes to choose from, there is a perfect gift for everyone."
279,Double-Take: A Revisionist Harlem Renaissance Anthology,Venetria Patton,1,9780813529301,$26.88,Paperback,Rutgers University Press,December 2001,"Places - Literary Anthologies, Regional American Anthologies, Peoples & Cultures - American Anthologies, American Literature Anthologies, African American Art",670,"In this important new anthology, Venetria K. Patton and Maureen Honey bring together a comprehensive selection of texts from the Harlem Renaissance-a key period in the literary and cultural history of the United States. The collection revolutionizes our way of viewing this era, since it redresses the ongoing emphasis on the male writers of this time. Double-Take offers a unique, balanced collection of writers-men and women, gay and straight, familiar and obscure. Arranged by author, rather than by genre, this anthology includes works from major Harlem Renaissance figures as well as often-overlooked essayists, poets, dramatists, and artists. 
 The editors have included works from a wide variety of genres-poetry, short stories, drama, and essays-allowing readers to understand the true interdisciplinary quality of this cultural movement. Biographical sketches of the authors are provided and most of the pieces are included in their entirety. Double-Take also includes artwork and illustrations, many of which are from original journals and have never before been reprinted. Significantly, Double-Take is the first Harlem Renaissance title to include song lyrics to illustrate the interrelation of various art forms.</p>"
280,Hispanic-American Literature: A Brief Introduction and Anthology,Nicolas Kanellos,1,9780673469564,$57.90,Paperback,Longman,January 1997,"Latinos, American & Canadian Literature, American Literature Anthologies, Latin American & Caribbean Literature",339,"Following a historical overview, this book presents works by Piri Thomas, Sandra Cisneros, Nicholasa Mohr, Robert Fernandez, Luis Omar Salinas, Angelo de Hoyos, Pat Mora, Sandra Maria Esteves, and Martin Espada, among others."
281,Nineteenth-Century American Poetry,Various,1,9780140435870,$19.19,Paperback,Penguin Group (USA) Incorporated,October 1996,"Poetry Anthologies, American Poetry, American Fiction & Literature Classics, Classics By Subject, American Literature Anthologies",496,"This text features selections from Bryant, Longfellow, Lowell, Whittier and Holmes. It includes poems by Poe and Emerson as well as Whitman, Dickinson and Melville. The introduction discusses the impact of American intellectual, social and political trends on poetry."
282,The Beat Book: Writings from the Beat Generation,Anne Waldman,1,9781590304556,$15.32,Paperback,"Shambhala Publications, Inc.",July 2007,American Literature Anthologies,400," The Beat movement exploded into American culture in the early 1950s with the force of prophecy. Not just another literary school, it was an artistic and social revolution. William S. Burroughs proclaimed that the Beat writers were “real architects of change. There is no doubt that we’re living in a freer America as a result of the Beat literary movement, which is an important part of the larger picture of cultural and political change in this country during the last forty years, when a four-letter word couldn’t appear on the printed page and minority rights were ridiculous.”</p>
 Anne Waldman, a renowned poet and longtime friend of many of these writers, has gathered in this volume a range of the best and most exemplary writings of the Beat poets and novelists. Selections from the Beat classics appear, as well as more recent prose and poetry demonstrating the continued vitality of the Beat experiment. Included are short biographies of the contributors, an extensive bibliography of Beat literature, and a unique guide to “Beat places” around the world—from Kerouac’s hometown of Lowell, Massachusetts, where his novel <i>Dr. Sax</i> takes place, to Tangier, where Burroughs wrote parts of <i>Naked Lunch.</i></p>"
283,Beat Poets,Carmela Ciuraru,1,9780375413322,$10.63,Hardcover,Knopf Doubleday Publishing Group,July 2002,"Poetry Anthologies, American Poetry, American Literature Anthologies",256," This rousing anthology features the work of more than twenty-five writers from the great twentieth-century countercultural literary movement. Writing with an audacious swagger and an iconoclastic zeal, and declaiming their verse with dramatic flourish in smoke-filled cafés, the Beats gave birth to a literature of previously unimaginable expressive range.</p>
 The defining work of Allen Ginsberg and Jack Kerouac provides the foundation for this collection, which also features the improvisational verse of such Beat legends as Gregory Corso, Lawrence Ferlinghetti, Gary Snyder, and Michael McClure and the work of such women writers as Diane DiPrima and Denise Levertov. LeRoi Jones’s plaintive “Preface to a Twenty Volume Suicide Note” and Bob Kaufman’s stirring “Abomunist Manifesto” appear here alongside statements on poetics and the alternately incendiary and earnest correspondence of Beat Generation writers.</p>
 Visceral and powerful, infused with an unmediated spiritual and social awareness, this is a rich and varied tribute and, in the populist spirit of the Beats, a vital addition to the libraries of readers everywhere.</p>"
284,Brooklyn Was Mine,Chris Knutsen,1,9781594482823,$14.94,Paperback,Penguin Group (USA) Incorporated,January 2008,"American Essays, General & Miscellaneous Essays, Places - Literary Anthologies, Regional American Anthologies, Regional Studies - Northeast & Middle Atlantic U.S., Literature Anthologies - General & Miscellaneous",240,"<p class=""null1"">A tribute to New York City's most literary borough-featuring original nonfiction pieces by today's most celebrated writers.</p>
 Of all the urban landscapes in America, perhaps none has so thoroughly infused and nurtured modern literature as Brooklyn. Though its literary history runs deep-Walt Whitman, Truman Capote, and Norman Mailer are just a few of its storied inhabitants-in recent years the borough has seen a growing concentration of bestselling novelists, memoirists, poets, and journalists. It has become what Greenwich Village once was for an earlier generation: a wellspring of inspiration and artistic expression.</p>
 <i>Brooklyn Was Mine</i> gives some of today's best writers an opportunity to pay tribute to the borough they love in 20 original essays that draw on past and present to create a mosaic that brilliantly captures the quality and diversity of a unique, literary landscape.</p>
<p class=""null1"">Contributors include: Emily Barton, Susan Choi, Rachel Cline, Philip Dray, Jennifer Egan, Colin Harrison, Joanna Hershon, Jonathan Lethem, Dinaw Mengestu, Elizabeth Gaffney, Lara Vapnyar, Lawrence Osborne, Katie Roiphe, John Burnham Schwartz, Vijay Seshadri, Darcey Steinke, Darin Strauss, Alexandra Styron, Robert Sullivan</p>
 With an introduction by Phillip Lopate.</p>"
285,New Playwrights: The Best Plays of 2007,Lawrence Harbison,1,9781575255910,$17.05,Paperback,"Smith & Kraus, Inc.",July 2008,"Drama, American Literature Anthologies, General & Miscellaneous Drama, Anthologies",416,
286,The Best American Erotic Poems: From 1800 to the Present,David Lehman,1,9781416537465,$14.59,Paperback,Simon & Schuster Adult Publishing Group,February 2008,"Poetry, American Literature Anthologies, Anthologies, General & Miscellaneous Poetry",336," There is a deep tradition of eroticism in American poetry. Thoughtful, provocative, moving, and sometimes mirthful, the poems collected in <i>The Best American Erotic Poems</i> celebrate this exuberant sensuality.</p>
 These poems range across the varied landscapes of love and sex and desire — from the intimate parts of the body to the end of an affair, from passion to solitary self-pleasure. With candor and imagination, they capture the delights and torments of sex and sexuality, nudity, love, lust, and the secret life of fantasy.</p>
 David Lehman, the distinguished editor of the celebrated <i>Best American Poetry</i> series, has culled a witty, titillating, and alluring collection that starts with Francis Scott Key, Emily Dickinson, Walt Whitman, and Hart Crane, encompasses Frank O'Hara, Anne Sexton, John Updike, Charles Simic, Billy Collins, Kevin Young, and Sharon Olds, and concludes with the rising stars of a whole new generation of versifiers, including Sarah Manguso, Ravi Shankar, and Brenda Shaughnessy.</p>
 In a section of the book that is sure to prompt discussion and further reading, the living poets write about their favorite works of erotic writing.</p>
 This book will delight, surprise, and inspire.</p>"
287,The Best of the West: An Anthology of Classic Writing from the American West,Tony Hillerman,1,9780060923525,$18.28,Paperback,HarperCollins Publishers,September 1992,"Fiction, United States History - Western, Plains & Rocky Mountain Region, Americas - General & Miscellaneous History, American Literature Anthologies, United States History - General & Miscellaneous, Civilization - History, Fiction Subjects",544," A sterling collection of classic and contemporary fiction and nonfiction evoking the unique spirit of the West and its people, selected and introduced by one of today's premier chroniclers of the Western landscape and a <b>New York Times</b> bestselling author.</p>"
288,Atop an Underwood: Early Stories and Other Writings,Jack Kerouac,1,9780140296396,$15.42,Paperback,Penguin Group (USA),November 2000,"Fiction, American Literature Anthologies",272," Before Jack Kerouac expressed the spirit of a generation in his 1957 classic, <b>On the Road</b>, he spent years figuring out how he wanted to live and, above all, learning how to write. <b>Atop an Underwood</b> brings together more than sixty previously unpublished works that Kerouac wrote before he was twenty-two, ranging from stories and poems to plays and parts of novels, including an excerpt from his 1943 merchant marine novel, <b>The Sea Is My Brother</b>. These writings reveal what Kerouac was thinking, doing, and dreaming during his formative years, and reflect his primary literary influences. Readers will also find in these works the source of Kerouac's spontaneous prose style.</p>
 Uncovering a fascinating missing link in Kerouac's development as a writer, Atop an Underwood is essential reading for Kerouac fans, scholars, and critics.</p>"
289,"The African American Experience: Black History and Culture Through Speeches, Letters, Editorials, Poems, Songs, and Stories",Kai Wright,1,9781579127732,$17.44,Paperback,"Black Dog & Leventhal Publishers, Inc.",January 2009,Peoples & Cultures - American Anthologies,720,"<br>
This wide-ranging archive, capturing more than four centuries of African American history and culture in one essential volume, is at once poignant, painful, celebratory, and inspiring.
 <i>The African American Experience</i> is a one-of-a-kind and absolutely riveting collection of more than 300 letters, speeches, articles, petitions, poems, songs, and works of fiction tracing the course of black history in America from the first slaves brought over in the 16th century to the events of the present day. All aspects of African American history and daily life are represented here, from the days of abolition and the Civil War to the Civil Rights movement and the current times. Organized chronologically, here are writings from the great political leaders including Frederick Douglass, Martin Luther King, Jr., Malcolm X, Jesse Jackson, and Barack Obama; literary giants including Langston Hughes, Gwendolyn Brooks, Toni Morrison, Alice Walker, James Baldwin, and bell hooks; scholars such as Cornel West and Henry Louis Gates, Jr.; artists including Miles Davis, Billie Holiday, Wynton Marsalis, Run-DMC, the Sugar Hill Gang, and Chuck Berry; athletes such as Muhammad Ali and Jackie Robinson; and many more.</p>
 A new introduction by Kai Wright provides overall context, and introductory material for each document delineates its significance and role in history. This edition features all new and updated material.</p>"
290,Best New Poets: 50 Poems from Emerging Writers,Kim Addonizio,1,9780976629641,$11.95,Paperback,Samovar Press,November 2009,"Poetry, American Literature Anthologies, Anthologies",158," Entering its fourth year, <i>Best New Poets</i> has established itself as a crucial venue for rising poets and a valuable resource for poetry lovers. The only publication of its kind, this annual anthology is made up exclusively of work by writers who have not yet published a full-length book. The poems included in this eclectic sampling represent the best from the many that have been nominated by the country’s top literary magazines and writing programs, as well as some two thousand additional poems submitted through an open online competition. The work of the fifty writers represented here provides the best perspective available on the continuing vitality of poetry as it’s being practiced today.</p>
 Distributed for the Samovar Press in cooperation with Meridian: The Semi-Annual from the University of Virginia</p>
  University of Virginia Press</p>"
291,Inherit the Atchafalaya,Greg Guirard,1,9781887366762,$25.90,Hardcover,University of Louisiana at Lafayette Press,July 2007,"Nature, Natural Resources",,
292,The Best American Poetry 2007,Heather McHugh,1,9780743299732,$1.99,Paperback,Simon & Schuster Adult Publishing Group,September 2007,"Poetry, American Literature Anthologies, Anthologies",192," The twentieth edition of <i>The Best American</i> poetry series celebrates the rich and fertile landscape of American poetry. Renowned poet Heather McHugh loves words and the unexpected places they take you; her own poetry elevates wordplay to a species of metaphysical wit. For this year's anthology McHugh has culled a spectacular group of poems reflecting her passion for language, her acumen, and her vivacious humor.</p>
 From the thousands of poems published or posted in one year, McHugh has chosen seventy-five that fully engage the reader while illustrating the formal and tonal diversity of American poetry. With new work by established poets such as Louise Glück, Robert Hass, and Richard Wilbur, The Best American Poetry 2007 also features such younger talents as Ben Lerner, Meghan O'Rourke, Brian Turner, and Matthea Harvey.</p>
 Graced with McHugh's fascinating introduction, the anthology includes the ever-popular notes and comments section in which the contributors write about their work. Series editor David Lehman's engaging foreword limns the necessity of poetry. <i>The Best American Poetry 2007</i> is an exciting addition to a series committed to covering the American poetry scene and delivering great poems to a broad audience.</p>"
293,The Best American Poetry 2006,Billy Collins,1,9780743257596,$16.00,Paperback,Simon & Schuster Adult Publishing Group,September 2006,"Poetry, American",,
294,Tales for Little Rebels: A Collection of Radical Children's Literature,Philip Nel,1,9780814757215,$23.63,Paperback,New York University Press,March 2010,"Literary Criticism - General & Miscellaneous, 20th Century American Literature - General & Miscellaneous - Literary Criticism, Literary Reference - Books & Reading, American Literature Anthologies",313," In 1912, a revolutionary chick cries, “Strike down the wall!” and liberates itself from the “egg state.” In 1940, ostriches pull their heads out of the sand and unite to fight fascism. In 1972, Baby X grows up without a gender and is happy about it.</p>
 Rather than teaching children to obey authority, to conform, or to seek redemption through prayer, twentieth-century leftists encouraged children to question the authority of those in power. <b>Tales for Little Rebels</b> collects forty-three mostly out-of-print stories, poems, comic strips, primers, and other texts for children that embody this radical tradition. These pieces reflect the concerns of twentieth-century leftist movements, like peace, civil rights, gender equality, environmental responsibility, and the dignity of labor. They also address the means of achieving these ideals, including taking collective action, developing critical thinking skills, and harnessing the liberating power of the imagination.</p>
 Some of the authors and illustrators are familiar, including Lucille Clifton, Syd Hoff, Langston Hughes, Walt Kelly, Norma Klein, Munro Leaf, Julius Lester, Eve Merriam, Charlotte Pomerantz, Carl Sandburg, and Dr. Seuss. Others are relatively unknown today, but their work deserves to be remembered. (Each of the pieces includes an introduction and a biographical sketch of the author.) From the anti-advertising message of <i>Johnny Get Your Money’s Worth (and Jane Too)!</i> (1938) to the entertaining lessons in ecology provided by <i>The Day They Parachuted Cats on Borneo</i> (1971), and Sandburg’s mockery of war in <i>Rootabaga Pigeons</i> (1923), these pieces will thrill readers intrigued by politics and history—and anyone with a love of children’s literature, no matter what age.</p>"
295,Great American Prose Poems,David Lehman,1,9780743243506,$14.10,Paperback,Simon & Schuster Adult Publishing Group,March 2003,"Poetry Anthologies, American Poetry, American Literature Anthologies",352," A prose poem is a poem written in prose rather than verse. But what does that really mean? Is it an indefinable hybrid? An anomaly in the history of poetry? Are the very words ""prose poem"" an oxymoron? This groundbreaking anthology edited by celebrated poet David Lehman, editor of <i>The Best American Poetry</i> series, traces the form in all its dazzling variety from Poe and Emerson to Auden and Ashbery and on, right up to the present. In his brilliant and lucid introduction, Lehman defines the prose poem, summarizes its French heritage, and outlines its history in the United States. Included here are important works from masters of American literature, as well as poems by contemporary mainstays and emerging talents who demonstrate why the form has become an irresistible option for the practicing poet today. <i>Great American Prose Poems</i> is a marvelous collection, a must-have for anyone interested in the current state of the art.</p>"
296,"The Literature of California, Volume 1: Native American Beginnings to 1945",Jack Hicks,1,9780520222120,$32.95,Paperback,University of California Press,December 2000,"Regional American Anthologies, American Literature - Regional Literature - Literary Criticism",653,"<i>The Literature of California</i> is a landmark publication--unmatched by any existing collection and distinguished by its breadth, variety of sources, and historical sweep. The editors have been refreshingly inclusive and imaginative in their selection: some of the writers are internationally known, others are anthologized here for the first time. The richness of material, ranging from Native American origin myths to Hollywood novels dissecting the American Dream; from the familiar voices of John Steinbeck, Jack London, and William Saroyan to the less-well-known narratives of Maria Amparo Ruiz de Burton, Josephine Miles, and Jade Snow Wong--all of it captures the spirit and scope of the state itself.<br>
This first volume of the comprehensive two-volume anthology is divided into four parts. The first includes stories, legends, and songs of the indigenous tribes. The second section comprises letters, diaries, reports, and travel narratives that trace a century of exploration, discovery, and conquest. Part III includes Mother Lode tales by Mark Twain and Bret Harte, the first signs of California poetry, the rise of narrative by California women, the nature writing of John Muir and Mary Austin, and some of the earliest prose from writers of Asian background, as well as the maturing fiction of Jack London and Frank Norris. Part IV traces the period between the World Wars, when California literature came fully into its own.<br>
A lively introduction contextualizes each section, and concise biographical material is included for each writer. Volume Two, to be published in 2007, concentrates on the second half of the twentieth-century, during which California became one of the most active literary regions in the world. A colossal contribution to the culture of the state, <i>The Literature of California</i> broadens our sense of this region's richness, both past and present, offering new ways of perceiving history, community, and oneself."
297,American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,1,9781598530056,$27.06,Hardcover,Library of America,April 2007,"Cooking Essays, Cooking - General & Miscellaneous, American Literature Anthologies",700,"Now in paperback, this groundbreaking anthology from celebrated food writer Molly O'Neill is a history of America as told by our tastebuds. Here are classic accounts of iconic American foods: Thoreau on the delights of watermelon; Melville, with a mouth-watering chapter on clam chowder; Mencken on the hot dog; M.F.K. Fisher in praise of the oyster; Ellison on the irresistible appeal of baked yams; Styron on Southern fried chicken. American writers abroad describe the revelations they find in foreign restaurants; travelers to America discover native delicacies. Great chefs and noted critics discuss their culinary philosophies and offer advice on the finer points of technique; home cooks recount disasters and triumphs. <i>American Food Writing</i> celebrates the astonishing variety of American foodways, with accounts from almost every corner of the country and a host of ethnic traditions. A surprising range of subjects and perspectives emerge, as writers address such topics as fast food, dieting, and the relationship between food and sex. Throughout the book are fifty authentic recipes that tell the story of American food and will delight and inspire home chefs."
298,Essential Saroyan,William Saroyan,1,9781597140010,$11.57,Paperback,Heyday Books,April 2005,Regional American Anthologies,192," Fiction. William Saroyan's gift to literature was his humanity. In his five decades of writing short stories, novels, and plays, he saw exuberance where others found sorrow, and he lived a life that was richer and stranger than his fiction. From his humble roots as a bike messenger in Fresno, California, Saroyan went on to enchant the world with his intelligence, insight, and integrity. In drama, short stories, novels, and autobiography, Saroyan explored the universal themes of human existence through a lens that was at once American, Armenian, and global in its outlook. ESSENTIAL SAROYAN brings together acclaimed stories as well as a few surprises from one of California's finest gifts to world literature.</p>"
299,No Walls of Stone: An Anthology of Literature by Deaf and Hard of Hearing Writers,Jill Jepson,1,9781563680199,$33.50,Hardcover,Gallaudet University Press,January 2002,American Literature Anthologies,232,"Now, the new, completely revised Come Sign With Us offers more follow-up activities, including many in context, to teach children sign language. The second edition of this fun, fully illustrated activities manual features more than 300 line drawings of both adults and children signing familiar words, phrases, and sentences using American Sign Language (ASL) signs in English word order. Twenty lively lessons each introduce ten selected ""Target Vocabulary"" words in a format familiar and exciting to children, including holidays, pets, cars and trucks, and more. All signs have equivalent words listed in both English and Spanish.
 Come Sign With Us shows how to form each sign exactly and also presents the origins of ASL, facts about deafness, and the Deaf community.</p>"
300,"Pioneers of the Black Atlantic: Five Slave Narratives from the Enlightenment, 1772-1815",Henry Louis Gates Jr.,1,9781887178983,$26.00,Paperback,Basic Civitas Books,November 1998,"United States History - African American History, African American History, African Diaspora History, Social Sciences - General & Miscellaneous, American Literature Anthologies, Peoples & Cultures - Biography, Historical Biography - United States, General",656,"In the eighteenth century, a small group of black men met the challenge of the Enlightenment by mastering the arts and sciences and writing themselves into history. The battle lines were clear—literacy stood as the ultimate measure of humanity to the white arbiters of Western culture. If blacks could succeed in this sphere, they would prove that African and European humanity were inseparable. Without a literary record, blacks seemed predestined for slavery.The small but dedicated group—now known as the Black Atlantic writers—who stepped forward to meet this challenge published their autobiographies in the late eighteenth and early nineteenth centuries. They not only defied the popular opinion of the time that blacks were unfit for letters, but inaugurated the Black American and Black British literary traditions.While slave narratives are often excerpted and anthologized, they are rarely collected in their entirety. <i>Pioneers of the Black Atlantic</i> is the first anthology to include the complete texts of the five most important and influential narratives of the eighteenth century. Included here are the writings of James Albert Ukawsaw Gronniosaw, John Marrant, Ottobah Cugoano, Olaudah Equiano, and John Jea.Their stories, resonant still in our racially divided world, are landmarks in the history of autobiography and human rights."
301,Riding Low on Streets of Gold,Judith Ortiz Cofer,1,9781558853805,$13.90,Paperback,Arte Publico Press,November 2003,"American Literature Anthologies, Teens - Poetry, Drama & Literary Criticism, Teen Fiction",192," Fiction. Poetry. Latino/Latina Studies. Young Adult. RIDING LOW ON THE STREETS OF GOLD is an essential collection of stories and poems for young people that introduces U.S. Latino Literature. ""There seemed to be no way out of the custom. Her arguments were always the same and always turned into pleas ... 'But, Ama', it's embarrassing. I'm too old for that. I'm an adult,'"" Naomi says in Helena Maria Viramontes' story ""Growing."" Ever since Naomi hit high school and puberty, she began to notice that ""there were too many expectations, and no one instructed her on how to fulfill them..."" In her tradition-bound family and under the thundering gaze of her father, Naomi struggles to stretch the limitations imposed on her by her family, even as her mind expands along with her changing body. Like ""Growing,"" the pieces in this anthology for young adults reveal the struggles of discovering a new self and the trials of leaving behind an old one. This extraordinary collection gathers a wealth of stories and poems that explore the challenges of negotiating identity and relationships with others, struggling with authority, learning to love oneself and challenging the roles society demands of teenagers and adults. Edited by well-known poet and prose-writer Judith Ortiz Cofer, the collection includes work by such leading Latino writers as Pat Mora, Jesus Salvador Trevino, Tomas Rivera, Virgil Suarez, Jose Marti, Viramontes and Ortiz Cofer herself. Included as well are new voices that represent the freshness and vigor of youth: Mike Padilla, Daniel Chacon, and Sarah Cortez. For many students across the United States, this text will serve as their first rewarding introduction to diverse writers of Latino/Latina literature.</p>


                         An essential collection of stories and poems for young people that introduces U.S. Latino Literature.
</p>"
302,Fire and Ink: An Anthology of Social Action Writing,Frances Payne Adler,1,9780816527939,$19.43,Paperback,University of Arizona Press,October 2009,"Literature Anthologies - General & Miscellaneous, American Literature Anthologies",448," Fire and Ink is a powerful and impassioned anthology of stories, poems, interviews, and essays that confront some of the most pressing social issues of our day. Designed to inspire and inform, this collection embodies the concepts of breaking silence,” bearing witness,” resistance, and resilience. Beyond students and teachers, the book will appeal to all readers with a commitment to social justice.</p>
 Fire and Ink brings together, for the first time in one volume, politically engaged writing by poets, fiction writers, and essayists. Including many of our finest writers—Martín Espada, Adrienne Rich, June Jordan, Patricia Smith, Gloria Anzaldúa, Sharon Olds, Arundhati Roy, Sonia Sanchez, Carolyn Forche, Chitra Banerjee Divakaruni, Alice Walker, Linda Hogan, Gary Soto, Kim Blaeser, Minnie Bruce Pratt, Li-Young Lee, and Jimmy Santiago Baca, among others—this is an indispensable collection.</p>
 This groundbreaking anthology marks the emergence of social action writing as a distinct field within creative writing and literature. Featuring never-before-published pieces, as well as reprinted material, Fire and Ink is divided into ten sections focused on significant social issues, including identity, sexuality and gender, the environment, social justice, work, war, and peace. The pieces can often be gripping, such as Frame,” in which Adrienne Rich confronts government and police brutality, or Chris Abani’s Ode to Joy,” which documents great courage in the face of mortal danger.</p>
 Fire and Ink serves as a wonderful reader for a wide range of courses, from composition and rhetoric classes to courses in ethnic studies, gender studies, American studies, and even political science, by facing a past that was often accompanied by injustice and suffering. But beyond that, this collection teaches us that we all have the power to create a more equitable and just future.</p>"
303,"New York Nocturne: The City After Dark in Literature, Painting, and Photography, 1850-1950",William Chapman Sharpe,1,9780691133249,$35.20,Hardcover,Princeton University Press,October 2008,"General & Miscellaneous Photography, Places - Literary Anthologies, Regional American Anthologies, New York City - History, U.S. Travel Photography - Mid-Atlantic, Landscapes & Places in Art",456," As early as the 1850s, gaslight tempted New Yorkers out into a burgeoning nightlife filled with shopping, dining, and dancing. Electricity later turned the city at night into an even more stunning spectacle of brilliantly lit streets and glittering skyscrapers. The advent of artificial lighting revolutionized the urban night, creating not only new forms of life and leisure, but also new ways of perceiving the nocturnal experience. <i>New York Nocturne</i> is the first book to examine how the art of the gaslit and electrified city evolved, and how representations of nighttime New York expanded the boundaries of modern painting, literature, and photography. Exploring the myriad images of Manhattan after dark, <i>New York Nocturne</i> shows how writers and artists took on the city's nocturnal blaze and transformed the scintillating landscape into an icon of modernity.</p>
 The book traces key metaphors of the nighttime city: a seductive Babylon in the mid-1850s, a misty fairyland colonized by an empire of light in the early twentieth century, and a skyscraper-studded land of desire that became a stage for the voyeurism and violence of the 1940s and 1950s. The epilogue suggests how these themes have continued to shape our vision of nighttime New York ever since. Abundantly illustrated, <i>New York Nocturne</i> includes original readings of works by Whitman, Poe, Whistler, Riis, Stieglitz, Abbott, O'Keeffe, Stella, Hopper, Weegee, Ellison, Jacquette, and many others. Collectively, they tell a fascinating story about the relationship between night, art, and modern urban life.</p>"
304,Poets of World War II,Various,1,9781931082334,$17.71,Hardcover,Library of America,July 2002,"Poetry Anthologies, War Poetry, American Poetry, American Literature Anthologies",262," Acclaimed poet and World War II veteran Harvey Shapiro's pathbreaking gathering of work by more than sixty poets of the war years includes Randall Jarrell, Anthony Hecht, George Oppen, Richard Eberhart, William Bronk, and Woody Guthrie.</p>"
305,Voices from the Harlem Renaissance,Nathan Irvin Huggins,1,9780195093605,$23.05,Paperback,"Oxford University Press, USA",January 1995,"General & Miscellaneous American Art, Places - Literary Anthologies, Regional American Anthologies, African American Regional History - Northeastern & Mid-Atlantic States, Peoples & Cultures - American Anthologies, Literary Movements - General & Miscellan",448,"<br>
The Harlem Renaissance of the 1920s symbolized black liberation and sophistication--the final shaking off of slavery, in the mind, spirit, and character of African-Americans. It was a period when the African-American came of age, with the clearest expression of this transformation visible in the remarkable outpouring of literature, art, and music. In these years the ""New Negro"" was born, as seen in the shift of black leadership from Booker T. Washington to that of W.E.B. Du Bois, from Tuskegee to New York, and for some, even to the African nationalism of Marcus Garvey.
 In <em>Voices from the Harlem Renaissance</em>, Nathan Irvin Huggins provides more than 120 selections from the political writings and arts of the period, each depicting the meaning of blackness and the nature of African-American art and its relation to social statement. Through these pieces, Huggins establishes the context in which the art of Harlem Renaissance occurred. We read the call to action by pre-Renaissance black spokesmen, such as A. Philip Randolph and W.E.B. DuBois who--through magazines such as The Messenger (""the only radical Negro magazine""), and the NAACP's Crisis--called for a radical transformation of the American economic and social order so as to make a fair world for black men and women. We hear the more flamboyant rhetoric of Marcus Garvey, who rejected the idea of social equality for a completely separate African social order. And we meet Alain Locke, whose work served to redefine the ""New Negro"" in cultural terms, and stands as the cornerstone of the Harlem Renaissance.</p>
 Huggins goes on to offer autobiographical writings, poetry, and stories of such men and women as Langston Hughes, Nancy Cunard, Helen Johnson, and Claude McKay--writings that depict the impact of Harlem and New York City on those who lived there, as well as the youthfulness and exuberance of the period. The complex question of identity, a very important part of the thought and expression of the Harlem Renaissance, is addressed in work's such as Jean Toomer's Bona and Paul and Zora Neale Hurston's Sweat. And Huggins goes on to attend to the voices of alienation, anger, and rage that appeared in a great deal of the writing to come out of the Harlem Renaissance by poets such as George S. Schuyler and Gwendolyn Bennett. Also included are over twenty illustrations by such artists as Aaron Douglas whose designs illuminated many of the works we associate with the Harlem Renaissance: the magazines Fire and Harlem; Alain Locke's The New Negro; and James Weldon Johnson's God's Trombones.</p>
 The vitality of the Harlem Renaissance served as a generative force for all New York--and the nation. Offering all those interested in the evolution of African-American consciousness and art a link to this glorious time, <em>Voices from the Harlem Renaissance</em> illuminates the African-American struggle for self-realization.</p>


                         Nathan Irvin Huggins showcases more than 120 selections from the political writings and arts of the Harlem Renaissance. Featuring works by such greats as Langston Hughes, Aaron Douglas, and Gwendolyn Bennett, here is an extraordinary look at the remarkable outpouring of African-American literature and art during the 1920s.
</p>"
